RegisterNo,DM_Present,DM_Total,DS_Present,DS_Total,DBMS_Present,DBMS_Total,DPCO_Present,DPCO_Total,OOP_Present,OOP_Total,ESS_Present,ESS_Total
311124104126,5,5,4,4,4,7,4,6,7,7,7,4
311124104099,5,5,4,4,4,7,4,6,7,7,6,4
311124104098,5,5,4,4,4,7,4,6,7,7,7,4
311124104097,5,5,3,4,4,7,4,6,7,7,6,4
311124104096,5,5,4,4,4,7,4,6,7,7,7,4
311124104091,5,5,4,4,4,7,4,6,7,7,6,4
311124104095,5,5,4,4,4,7,4,6,7,7,6,4
311124104094,5,5,4,4,4,7,4,6,7,7,7,4
311124104093,5,5,3,4,4,7,4,6,7,7,6,4
311124104092,5,5,4,4,4,7,4,6,7,7,7,4
311124104118,5,5,4,4,4,7,4,6,7,7,7,4
311124104117,5,5,3,4,4,7,4,6,7,7,6,4
311124104116,5,5,4,4,4,7,4,6,7,7,7,4
311124104115,5,5,4,4,4,7,4,6,7,7,6,4
311124104119,5,5,4,4,4,7,4,6,7,7,6,4
311124104088,5,5,3,4,4,7,4,6,7,7,6,4
311124104121,5,5,3,4,4,7,4,6,7,7,6,4
311124104087,5,5,4,4,4,7,4,6,7,7,7,4
311124104120,5,5,4,4,4,7,4,6,7,7,7,4
311124104086,5,5,4,4,4,7,4,6,7,7,6,4
311124104085,5,5,4,4,4,7,4,6,7,7,7,4
311124104125,5,5,3,4,4,7,4,6,7,7,6,4
311124104124,5,5,4,4,4,7,4,6,7,7,7,4
311124104123,5,5,4,4,4,7,4,6,7,7,6,4
311124104089,5,5,4,4,4,7,4,6,7,7,7,4
311124104122,5,5,4,4,4,7,4,6,7,7,7,4
311124104080,5,5,3,4,4,7,4,6,7,7,6,4
311124104084,5,5,3,4,4,7,4,6,7,7,6,4
311124104083,5,5,4,4,4,7,4,6,7,7,7,4
311124104082,5,5,4,4,4,7,4,6,7,7,6,4
311124104081,5,5,4,4,4,7,4,6,7,7,7,4
311124104107,5,5,4,4,4,7,4,6,7,7,6,4
311124104305,5,5,4,4,4,7,4,6,7,7,7,4
311124104106,5,5,4,4,4,7,4,6,7,7,7,4
311124104304,5,5,4,4,4,7,4,6,7,7,6,4
311124104105,5,5,3,4,4,7,4,6,7,7,6,4
311124104104,5,5,4,4,4,7,4,6,7,7,7,4
311124104309,5,5,4,4,4,7,4,6,7,7,7,4
311124104308,5,5,4,4,4,7,4,6,7,7,6,4
311124104109,5,5,3,4,4,7,4,6,7,7,6,4
311124104307,5,5,4,4,4,7,4,6,7,7,7,4
311124104108,5,5,4,4,4,7,4,6,7,7,7,4
311124104306,5,5,3,4,4,7,4,6,7,7,6,4
311124104077,5,5,4,4,4,7,4,6,7,7,7,4
311124104110,5,5,4,4,4,7,4,6,7,7,7,4
311124104076,5,5,3,4,4,7,4,6,7,7,6,4
311124104075,5,5,4,4,4,7,4,6,7,7,7,4
311124104074,4,5,3,4,7,7,5,6,7,7,3,4
311124104114,5,5,4,4,4,7,4,6,7,7,7,4
311124104113,5,5,3,4,4,7,4,6,7,7,6,4
311124104079,5,5,4,4,4,7,4,6,7,7,7,4
311124104112,5,5,4,4,4,7,4,6,7,7,7,4
311124104310,5,5,3,4,4,7,4,6,7,7,6,4
311124104078,5,5,4,4,4,7,4,6,7,7,6,4
311124104111,5,5,4,4,4,7,4,6,7,7,6,4
311124104073,5,5,4,4,4,7,4,6,7,7,7,4
311124104072,5,5,3,4,4,7,4,6,7,7,6,4
311124104071,5,5,4,4,4,7,4,6,7,7,7,4
311124104070,5,5,4,4,4,7,4,6,7,7,6,4
311124104103,5,5,4,4,4,7,4,6,7,7,6,4
311124104069,5,5,4,4,4,7,4,6,7,7,7,4
311124104102,5,5,4,4,4,7,4,6,7,7,7,4
311124104068,5,5,3,4,4,7,4,6,7,7,6,4
311124104101,5,5,3,4,4,7,4,6,7,7,6,4
311124104067,5,5,4,4,4,7,4,6,7,7,7,4
311124104100,5,5,4,4,4,7,4,6,7,7,7,4
